country_WOS,country
PA15212,United States
PA15213,United States
PA15260,United States
PA16802,United States
PA19101,United States
PA19104,United States
PA19107,United States
PA19111,United States
PA19129,United States
PA19130,United States
PA19141,United States
PA19174,United States
PA19348,United States
PA19460,United States
Papua N Guinea,Papua New Guinea
PAPUA NEW GUIN,Papua New Guinea
PARIS,France
Peoples R China,China
PHIL.,Philippines
Philippine Isl,Philippines
Philippine Isla,Philippines
Phillipine Isla,Philippines
PR00612,United States
PR00931,United States
PR00936,United States
Rep of Georgia,Georgia
Republic Chili,Chile
Republic of Singapore,Singapore
RHODESIA,Zimbabwe
ROME,Italy
ROUMANIA,Romania
RUMANIA,Romania
S AFR,South Africa
S AFR.,South Africa
S AFRICA,South Africa
S Australia,Australia
S KOREA,South Korea
S WALES,United Kingdom
Sao Tome & Prin,Sao Tome and Principe
SC29801,United States
SCHWEIZ,Switzerland
SCOTL,United Kingdom
SCOTL.,United Kingdom
Scotland,United Kingdom
Serbia Monteneg,Serbia and Montenegro (formerly Yugoslavia)
SUISSE,Switzerland
Surinam,Suriname
SWEDE,Sweden
SWEDEEN,Sweden
SWEEDEN,Sweden
SWITZ,Switzerland
SWITZ.,Switzerland
SYRIAN ARAB REP,Syria
Tajikstan,Tajikistan
Tasmania,Australia
TASSR,Tajikistan
TEXAS,United States
The Netherlands,Netherlands
TN37830,United States
TN38103,United States
TN38163,United States
TOKYO,Japan
ESPAGNE,Spain
ESPANA,Spain
ESSSR,Estonia
Esthonia,Estonia
Esthonie,Estonia
Estonie,Estonia
FANCE,France
FED REP GER,Germany
FED RER GER,Germany
FFRANCE,France
FINALAND,Finland
FINALDN,Finland
FINALND,Finland
FINDLAND,Finland
FINLAD,Finland
FINLAN,Finland
Finnland,Finland
FL32561,United States
FL32601,United States
FL33124,United States
FL33152,United States
FLORIDA,United States
FNLAND,Finland
Fr Polynesia,French Polynesia
FRAANCE,France
FRACE,France
FRANC,France
FRANCCE,France
FRANE,France
FRANNCE,France
FRNCE,France
FRRANCE,France
GA30341,United States
GA31830,United States
GER DEM,Germany
GER DEM REP,Germany
GESSR,Georgia
GIBRALTER,Gibraltar
Gilbraltar,Gibraltar
Great Britain,United Kingdom
Guinea Bissau,Guinea-Bissau
Hawaii,United States
HOLLAND,Netherlands
HUNGRY,Hungary
IA50010,United States
IL60153,United States
IL60201,United States
IL60612,United States
IL60637,United States
IL60680,United States
IL61801,United States
IL61820,United States
ILINOIS,United States
ILL,United States
ILLINOIS,United States
IOWA,United States
ISRALE,Israel
ISREAL,Israel
ITAALY,Italy
ITALIA,Italy
ITALIE,Italy
ITALU,Italy
ITLAY,Italy
IVORY COAST,Cote dIvoire
JAAN,Japan
JAPA,Japan
JAPAAN,Japan
JAPANN,Japan
JAPAPAN,Japan
JAPON,Japan
JAPPAN,Japan
JPAN,Japan
KASSR,Kazakhstan
Korea,South Korea
KS66015,United States
KS66103,United States
KS66109,United States
KS66506,United States
KY40202,United States
LA70112,United States
LA70118,United States
LA70122,United States
LA70140,United States
LA70146,United States
LASSR,Latvia
LISSR,Lithuania
LONDON,United Kingdom
MA01730,United States
MA01731,United States
MA01810,United States
MA01880,United States
MA02106,United States
MA02111,United States
MA02114,United States
MA02115,United States
MA02118,United States
MA02130,United States
TRANSKEI,South Africa
TRIN $$ TOBAGO,Trinidad and Tobago
TRIN & TOBAGO,Trinidad and Tobago
0 DENMARK,Denmark
AANADA,Canada
AK99801,United States
AK99835,United States
AL35294,United States
AL35800,United States
AL35807,United States
AL35812,United States
AL36830,United States
ALASKA,United States
ALGERIE,Algeria
Antigua & Barbu,Antigua and barbuda
ARGEN,Argentina
ARGEN.,Argentina
ARGENT,Argentina
Argentine,Argentina
Argentine Repub,Argentina
ARSSR,Armenia
ASUTRIA,Austria
AUSTL,Australia
AUSTL.,Australia
AUSTRALI,Australia
AUSTRIIA,Austria
AUSTRL.,Australia
AUUSTL.,Australia
AZ85014,United States
AZ85281,United States
AZ85711,United States
AZ85724,United States
AZSSR,Azerbaijan
BEGIUM,Belgium
BELGI,Belgium
BELGIEN,Belgium
BELGIIUM,Belgium
Belguim,Belgium
BELGUM,Belgium
Berlin,Germany
BESSR,Belarus
MA02138,United States
MA02139,United States
MA02154,United States
Macau,Macao
Malagasy Republ,Madagascar
MANITOBA,Canada
Marshall Island,Marshall Islands
MD20014,United States
MD20688,United States
MD20705,United States
MD20742,United States
MD20760,United States
MD20771,United States
MD20910,United States
MD21005,United States
MD21204,United States
MD21205,United States
MD21211,United States
MD21215,United States
MD21228,United States
MD21701,United States
MD21902,United States
MI48104,United States
MI48106,United States
MI48221,United States
MI48823,United States
MI48824,United States
MI49500,United States
MILAN,Italy
MN55901,United States
MO63104,United States
MO63110,United States
MO65566,United States
Mongol Peo Rep,Mongolia
MOSCOW,Russia
MS38776,United States
MS39216,United States
MS39762,United States
N IRE,United Kingdom
N IRELAND,United Kingdom
N WALES,United Kingdom
NB68105,United States
NB68108,United States
NB68503,United States
NC27103,United States
NC27509,United States
NC27514,United States
NEDERLANDS,Netherlands
NETH,Netherlands
Neth Antilles,Netherlands
NETH.,Netherlands
Netherlands Antilles,Netherlands
NETTERLANDS,Netherlands
NEW S WALES,Australia
NEW YORK,United States
NEW YORK10035,United States
NEW YORK14850,United States
NH03755,United States
NJ07036,United States
NJ07042,United States
NJ07103,United States
NJ07104,United States
BLEGIUM,Belgium
BOPHUTHATSWANA,South Africa
Bosnia & Herceg,Bosnia and Herzegovina
BOTSWAN,Botswana
BRASIL,Brazil
BRUSSELS,Belgium
BUNDES REPUBLIK,Germany
Byelarus,Belarus
CA90007,United States
CA90029,United States
CA90031,United States
CA90033,United States
CA90073,United States
CA90509,United States
CA90801,United States
CA91107,United States
CA92037,United States
CA92038,United States
CA92039,United States
CA92675,United States
CA94122,United States
CA94143,United States
CA94305,United States
CA94521,United States
CA94550,United States
CA94566,United States
CA94627,United States
CA94720,United States
CA94928,United States
CA95380,United States
CA95616,United States
CA96243,United States
CA96263,United States
CA96346,United States
CA96438,United States
CA96601,United States
CAANADA,Canada
CAANDA,Canada
CAIRO,Egypt
CALIFORNIA,United States
CANAADA,Canada
CANAD,Canada
CANADA  A,Canada
CANADAA,Canada
CANADDA,Canada
CANANA,Canada
CANDA,Canada
CANDAD,Canada
CANNADA,Canada
CENT AFR EMPIRE,Central African Republic
Cent Afr Republ,Central African Republic
CEYLON,Sri Lanka
CHILI,Chile
CISKEI,South Africa
CNADA,Canada
CO80220,United States
CO80302,United States
CONGO PEOPL REP,Congo
CONGO REPUBLIC,Congo
COPENHAGEN,Denmark
Cote Ivoire,Cote dIvoire
CT06268,United States
CT06320,United States
CT06460,United States
CT06510,United States
CT06515,United States
CT06520,United States
CZECH,Czech Republic
CZECH REPUBL,Czech Republic
CZECH.,Czech Republic
CZECHOSLOVAKIA,Czech Republic
CZEHC REPUBLIC,Czech Republic
DANMARK,Denmark
DC20000,United States
DC20006,United States
DC20017,United States
DC20037,United States
DC20213,United States
DC20234,United States
DC20250,United States
DC20305,United States
DC20460,United States
DC20591,United States
DC98104,United States
DE14898,United States
DE19898,United States
DEMARK,Denmark
Denamrk,Denmark
DENMAR,Denmark
DENMMARK,Denmark
DENNMARK,Denmark
DEUTSCH DEM REP,Germany
Dominican Rep,Dominican Republic
E GER,Germany
E GER.,Germany
EAST GERMANY,Germany
EENGLAND,United Kingdom
EGLAND,United Kingdom
ENALAND,United Kingdom
Engalnd,United Kingdom
ENGAND,United Kingdom
ENGGLAND,United Kingdom
ENGLAAND,United Kingdom
ENGLAD,United Kingdom
ENGLALAND,United Kingdom
ENGLAN,United Kingdom
ENGLANAND,United Kingdom
England,United Kingdom
ENGLANG,United Kingdom
ENGLANND,United Kingdom
ENGLISH,United Kingdom
ENGLLAND,United Kingdom
ENGLND,United Kingdom
ENLAND,United Kingdom
ENNGLAND,United Kingdom
Equat Guinea,Equatorial Guinea
